,Artist,Art,Link
0,Saul Steinberg,View of Florida,https://www.wikiart.org/en/saul-steinberg/view-of-florida-1965
0,Saul Steinberg,Autogeography,https://www.wikiart.org/en/saul-steinberg/autogeography-1966
0,Saul Steinberg,Untitled (Steinberg),https://www.wikiart.org/en/saul-steinberg/untitled-steinberg-1966
0,Saul Steinberg,Georgetown Cuisine,https://www.wikiart.org/en/saul-steinberg/georgetown-cuisine-1967
0,Saul Steinberg,Louse Point,https://www.wikiart.org/en/saul-steinberg/louse-point-1967
0,Saul Steinberg,The Paris Review?,https://www.wikiart.org/en/saul-steinberg/the-paris-review-1967
0,Saul Steinberg,Artists and War,https://www.wikiart.org/en/saul-steinberg/artists-and-war-1969
0,Saul Steinberg,Spoleto Festival,https://www.wikiart.org/en/saul-steinberg/spoleto-festival-1969
0,Saul Steinberg,"Untitled (Drawing Table ""Apr 12"")",https://www.wikiart.org/en/saul-steinberg/untitled-drawing-table-apr-12-1969
0,Saul Steinberg,Nuits de la Fondation Maeght,https://www.wikiart.org/en/saul-steinberg/nuits-de-la-fondation-maeght-1970
0,Saul Steinberg,"I Do, I Have, I Am",https://www.wikiart.org/en/saul-steinberg/i-do-i-have-i-am-1971
0,Saul Steinberg,"Japanese Sunset, #16",https://www.wikiart.org/en/saul-steinberg/japanese-sunset-16-1971
0,Saul Steinberg,Six Sunsets,https://www.wikiart.org/en/saul-steinberg/six-sunsets-1971
0,Saul Steinberg,Untitled,https://www.wikiart.org/en/saul-steinberg/untitled-1971
0,Saul Steinberg,Untitled,https://www.wikiart.org/en/saul-steinberg/untitled-1971-1
0,Saul Steinberg,Main Street,https://www.wikiart.org/en/saul-steinberg/main-street-1973
0,Saul Steinberg,The Politecnico Table,https://www.wikiart.org/en/saul-steinberg/the-politecnico-table-1974
0,Saul Steinberg,Untitled,https://www.wikiart.org/en/saul-steinberg/untitled-1974
0,Saul Steinberg,Utopia,https://www.wikiart.org/en/saul-steinberg/utopia-1974
0,Saul Steinberg,View of the World from 9th Avenue,https://www.wikiart.org/en/saul-steinberg/view-of-the-world-from-9th-avenue-1976
0,Saul Steinberg,Federal Projects,https://www.wikiart.org/en/saul-steinberg/federal-projects-1981
0,Saul Steinberg,Summer Table,https://www.wikiart.org/en/saul-steinberg/summer-table-1981
0,Saul Steinberg,Paris,https://www.wikiart.org/en/saul-steinberg/paris-1984
0,Saul Steinberg,Sphynx,https://www.wikiart.org/en/saul-steinberg/sphynx-1984
0,Saul Steinberg,Las Vegas,https://www.wikiart.org/en/saul-steinberg/las-vegas-1985
0,Saul Steinberg,Wyoming,https://www.wikiart.org/en/saul-steinberg/wyoming-1985
0,Saul Steinberg,Canal Street,https://www.wikiart.org/en/saul-steinberg/canal-street-1988
0,Manabu Mabe,Untitled,https://www.wikiart.org/en/manabu-mabe/untitled-1960
0,Manabu Mabe,Passage de Fuego,https://www.wikiart.org/en/manabu-mabe/passage-de-fuego-1961
0,Manabu Mabe,Taiki No. 227,https://www.wikiart.org/en/manabu-mabe/taiki-no-227-1961
0,Manabu Mabe,Dourado No. 34,https://www.wikiart.org/en/manabu-mabe/dourado-no-34-1965
0,Manabu Mabe,Alvorada da Industria,https://www.wikiart.org/en/manabu-mabe/alvorada-da-industria-1966
0,Manabu Mabe,Untitled,https://www.wikiart.org/en/manabu-mabe/untitled-1966
0,Manabu Mabe,Untitled,https://www.wikiart.org/en/manabu-mabe/untitled-1970
0,Manabu Mabe,Untitled,https://www.wikiart.org/en/manabu-mabe/untitled-1972
0,Manabu Mabe,Vozes,https://www.wikiart.org/en/manabu-mabe/vozes-1976
0,Manabu Mabe,Som,https://www.wikiart.org/en/manabu-mabe/som-1976
0,Manabu Mabe,Sorriso,https://www.wikiart.org/en/manabu-mabe/sorriso-1977
0,Manabu Mabe,Untitled,https://www.wikiart.org/en/manabu-mabe/untitled-1979
0,Manabu Mabe,Sentimental Song,https://www.wikiart.org/en/manabu-mabe/sentimental-song-1980
0,Manabu Mabe,Age,https://www.wikiart.org/en/manabu-mabe/age-1985
0,Manabu Mabe,Existência,https://www.wikiart.org/en/manabu-mabe/exist-ncia-1985
0,Manabu Mabe,Com dourados,https://www.wikiart.org/en/manabu-mabe/com-dourados
0,Manabu Mabe,Dever,https://www.wikiart.org/en/manabu-mabe/dever
0,Manabu Mabe,Vento Vermelho,https://www.wikiart.org/en/manabu-mabe/vento-vermelho
0,Manabu Mabe,Miragem,https://www.wikiart.org/en/manabu-mabe/miragem
0,Manabu Mabe,Untitled,https://www.wikiart.org/en/manabu-mabe/untitled
0,Manabu Mabe,Life,https://www.wikiart.org/en/manabu-mabe/life
0,Manabu Mabe,Human Condition,https://www.wikiart.org/en/manabu-mabe/human-condition
0,Manabu Mabe,Untitled,https://www.wikiart.org/en/manabu-mabe/untitled-1
0,Lucia Demetriade Balacescu,Joc,https://www.wikiart.org/en/lucia-demetriade-balacescu/joc-1913
0,Lucia Demetriade Balacescu,"Natură statică cu ciclamene, stampe și evantai",https://www.wikiart.org/en/lucia-demetriade-balacescu/natur-static-cu-ciclamene-stampe-i-evantai-1923
0,Lucia Demetriade Balacescu,Canceu cu lalele şi mărgele albastre,https://www.wikiart.org/en/lucia-demetriade-balacescu/canceu-cu-lalele-i-m-rgele-albastre-1928
0,Lucia Demetriade Balacescu,La gare de Berk-Plage,https://www.wikiart.org/en/lucia-demetriade-balacescu/la-gare-de-berk-plage-1933
0,Lucia Demetriade Balacescu,Negocieri,https://www.wikiart.org/en/lucia-demetriade-balacescu/negocieri-1935
0,Lucia Demetriade Balacescu,Scenă sătească,https://www.wikiart.org/en/lucia-demetriade-balacescu/scen-s-teasc-1943
0,Lucia Demetriade Balacescu,Mangalia veche,https://www.wikiart.org/en/lucia-demetriade-balacescu/mangalia-veche-1945
0,Lucia Demetriade Balacescu,Promenada pariziană,https://www.wikiart.org/en/lucia-demetriade-balacescu/promenada-parizian-1947
0,Lucia Demetriade Balacescu,Femeie cu evantai,https://www.wikiart.org/en/lucia-demetriade-balacescu/femeie-cu-evantai-1961
0,Lucia Demetriade Balacescu,Lacul Fundeni,https://www.wikiart.org/en/lucia-demetriade-balacescu/lacul-fundeni-1962
0,Lucia Demetriade Balacescu,În parc,https://www.wikiart.org/en/lucia-demetriade-balacescu/n-parc-1966
0,Lucia Demetriade Balacescu,Șalvarii galbeni,https://www.wikiart.org/en/lucia-demetriade-balacescu/alvarii-galbeni
0,Lucia Demetriade Balacescu,Unknown title,https://www.wikiart.org/en/lucia-demetriade-balacescu/unknown-title
0,Lucia Demetriade Balacescu,Unknown title,https://www.wikiart.org/en/lucia-demetriade-balacescu/unknown-title-1
0,Lucia Demetriade Balacescu,Unknown title,https://www.wikiart.org/en/lucia-demetriade-balacescu/unknown-title-2
0,Lucia Demetriade Balacescu,Unknown title,https://www.wikiart.org/en/lucia-demetriade-balacescu/unknown-title-3
0,Lucia Demetriade Balacescu,Unknown title,https://www.wikiart.org/en/lucia-demetriade-balacescu/unknown-title-4
0,Lucia Demetriade Balacescu,Unknown title,https://www.wikiart.org/en/lucia-demetriade-balacescu/unknown-title-5
0,Lucia Demetriade Balacescu,Unknown title,https://www.wikiart.org/en/lucia-demetriade-balacescu/unknown-title-6
0,Lucia Demetriade Balacescu,Cityscape,https://www.wikiart.org/en/lucia-demetriade-balacescu/cityscape
0,Lucia Demetriade Balacescu,Munci de primăvară,https://www.wikiart.org/en/lucia-demetriade-balacescu/munci-de-prim-var
0,Lucia Demetriade Balacescu,Promenadă prin Iași,https://www.wikiart.org/en/lucia-demetriade-balacescu/promenad-prin-ia-i
0,LeRoy Neiman,Jockey,https://www.wikiart.org/en/leroy-neiman/jockey-1960
0,LeRoy Neiman,Vegas,https://www.wikiart.org/en/leroy-neiman/vegas-1961
0,LeRoy Neiman,Hunt Field,https://www.wikiart.org/en/leroy-neiman/hunt-field-1967
0,LeRoy Neiman,Abraham Lincoln,https://www.wikiart.org/en/leroy-neiman/abraham-lincoln-1968
0,LeRoy Neiman,Olympic Track,https://www.wikiart.org/en/leroy-neiman/olympic-track-1970
0,LeRoy Neiman,Fencing at Munich Olympics,https://www.wikiart.org/en/leroy-neiman/fencing-at-munich-olympics-1972
0,LeRoy Neiman,Red Sky,https://www.wikiart.org/en/leroy-neiman/red-sky-1977
0,LeRoy Neiman,Stretch Stampede,https://www.wikiart.org/en/leroy-neiman/stretch-stampede-1979
0,LeRoy Neiman,In the Pocket,https://www.wikiart.org/en/leroy-neiman/in-the-pocket-1988
0,LeRoy Neiman,The Gaming Table,https://www.wikiart.org/en/leroy-neiman/the-gaming-table-1990
0,LeRoy Neiman,Frank Sinatra Duets,https://www.wikiart.org/en/leroy-neiman/frank-sinatra-duets-1994
0,LeRoy Neiman,Bistro Garden,https://www.wikiart.org/en/leroy-neiman/bistro-garden-1997
0,LeRoy Neiman,John Elway,https://www.wikiart.org/en/leroy-neiman/john-elway-1999
0,LeRoy Neiman,Mike Piazza,https://www.wikiart.org/en/leroy-neiman/mike-piazza-2000
0,LeRoy Neiman,Muhammad Ali: The Athlete of the Century,https://www.wikiart.org/en/leroy-neiman/muhammad-ali-the-athlete-of-the-century-2001
0,LeRoy Neiman,Elephant Family,https://www.wikiart.org/en/leroy-neiman/elephant-family
0,LeRoy Neiman,Portrait of the Elephant,https://www.wikiart.org/en/leroy-neiman/portrait-of-the-elephant
0,LeRoy Neiman,Resting Lion,https://www.wikiart.org/en/leroy-neiman/resting-lion
0,LeRoy Neiman,Resting Tiger,https://www.wikiart.org/en/leroy-neiman/resting-tiger
0,LeRoy Neiman,Rocky Balboa,https://www.wikiart.org/en/leroy-neiman/rocky-balboa
0,LeRoy Neiman,Shaq,https://www.wikiart.org/en/leroy-neiman/shaq
0,LeRoy Neiman,Stan Smith,https://www.wikiart.org/en/leroy-neiman/stan-smith
0,Ivan Serpa,Formas,https://www.wikiart.org/en/ivan-serpa/formas-1951
0,Ivan Serpa,Untitled,https://www.wikiart.org/en/ivan-serpa/untitled-1952-1
0,Ivan Serpa,Untitled,https://www.wikiart.org/en/ivan-serpa/untitled-1952
0,Ivan Serpa,Untitled,https://www.wikiart.org/en/ivan-serpa/untitled-1952-2
0,Ivan Serpa,Untitled,https://www.wikiart.org/en/ivan-serpa/untitled-1952-3
0,Ivan Serpa,Faixas Ritmadas,https://www.wikiart.org/en/ivan-serpa/faixas-ritmadas-1953
0,Ivan Serpa,Tinta automotiva sobre madeira,https://www.wikiart.org/en/ivan-serpa/tinta-automotiva-sobre-madeira-1953
0,Ivan Serpa,Untitled,https://www.wikiart.org/en/ivan-serpa/untitled-1953
0,Ivan Serpa,Untitled,https://www.wikiart.org/en/ivan-serpa/untitled-1953-1
0,Ivan Serpa,Figura (Fase Negra),https://www.wikiart.org/en/ivan-serpa/figura-fase-negra-1954
0,Ivan Serpa,Collage,https://www.wikiart.org/en/ivan-serpa/collage-1955
0,Ivan Serpa,Gouache,https://www.wikiart.org/en/ivan-serpa/gouache-1955
0,Ivan Serpa,Formas diferenciadas,https://www.wikiart.org/en/ivan-serpa/formas-diferenciadas-1956
0,Ivan Serpa,Geometric Composition,https://www.wikiart.org/en/ivan-serpa/geometric-composition-1956
0,Ivan Serpa,Geometric Composition,https://www.wikiart.org/en/ivan-serpa/geometric-composition-1956-1
0,Ivan Serpa,Goauche,https://www.wikiart.org/en/ivan-serpa/goauche-1956
0,Ivan Serpa,Gouache,https://www.wikiart.org/en/ivan-serpa/gouache-1956
0,Ivan Serpa,Untitled,https://www.wikiart.org/en/ivan-serpa/untitled-1956
0,Ivan Serpa,Faixas Ritmadas,https://www.wikiart.org/en/ivan-serpa/faixas-ritmadas-1958
0,Ivan Serpa,Untitled,https://www.wikiart.org/en/ivan-serpa/untitled-1961
0,Ivan Serpa,Bichos,https://www.wikiart.org/en/ivan-serpa/bichos-1963
0,Ivan Serpa,Bichos,https://www.wikiart.org/en/ivan-serpa/bichos-1963-1
0,Ivan Serpa,Bichos,https://www.wikiart.org/en/ivan-serpa/bichos-1963-2
0,Ivan Serpa,Figura (Fase Negra),https://www.wikiart.org/en/ivan-serpa/figura-fase-negra-1964-1
0,Ivan Serpa,Figura (Fase Negra),https://www.wikiart.org/en/ivan-serpa/figura-fase-negra-1964-2
0,Ivan Serpa,Figura (Fase Negra),https://www.wikiart.org/en/ivan-serpa/figura-fase-negra-1964-3
0,Ivan Serpa,Bichos,https://www.wikiart.org/en/ivan-serpa/bichos-1965
0,Ivan Serpa,Figura,https://www.wikiart.org/en/ivan-serpa/figura-1965
0,Ivan Serpa,Untitled,https://www.wikiart.org/en/ivan-serpa/untitled-1965
0,Ivan Serpa,Série Amazônica nº 2,https://www.wikiart.org/en/ivan-serpa/s-rie-amaz-nica-n-2-1968
0,Ivan Serpa,Série Amazônica nº 14,https://www.wikiart.org/en/ivan-serpa/s-rie-amaz-nica-n-14-1968
0,Ivan Serpa,Série Amazônica n° 5,https://www.wikiart.org/en/ivan-serpa/s-rie-amaz-nica-n-5-1968
0,Ivan Serpa,Composição,https://www.wikiart.org/en/ivan-serpa/composi-o-1970
0,Ivan Serpa,Série Amazônica nº 8,https://www.wikiart.org/en/ivan-serpa/s-rie-amaz-nica-n-8-1970
0,Ivan Serpa,Série Amazônica n° 27,https://www.wikiart.org/en/ivan-serpa/s-rie-amaz-nica-n-27-1970
0,Ivan Serpa,Untitled,https://www.wikiart.org/en/ivan-serpa/untitled-1970
0,Ivan Serpa,Série Amazônica n° 12,https://www.wikiart.org/en/ivan-serpa/s-rie-amaz-nica-n-12-1970
0,Ivan Serpa,Untitled,https://www.wikiart.org/en/ivan-serpa/untitled-1970-1
0,Ivan Serpa,Op-Erotica,https://www.wikiart.org/en/ivan-serpa/op-erotica-1971
0,Ivan Serpa,Untitled,https://www.wikiart.org/en/ivan-serpa/untitled-1971
0,Ivan Serpa,Figuras e bichos,https://www.wikiart.org/en/ivan-serpa/figuras-e-bichos-1972
0,Ivan Serpa,Homage to Volpi,https://www.wikiart.org/en/ivan-serpa/homage-to-volpi-1972
0,Ivan Serpa,Série Geomântica,https://www.wikiart.org/en/ivan-serpa/s-rie-geom-ntica-1972
0,Ivan Serpa,Série Geomântica,https://www.wikiart.org/en/ivan-serpa/s-rie-geom-ntica-1972-1
0,Ivan Serpa,Série Mangueira,https://www.wikiart.org/en/ivan-serpa/s-rie-mangueira-1972
0,Ivan Serpa,Boneca,https://www.wikiart.org/en/ivan-serpa/boneca
0,Ivan Serpa,Outubro,https://www.wikiart.org/en/ivan-serpa/outubro
0,Ivan Serpa,Untitled,https://www.wikiart.org/en/ivan-serpa/untitled
0,Ivan Serpa,Untitled,https://www.wikiart.org/en/ivan-serpa/untitled-1
0,Ivan Serpa,Untitled,https://www.wikiart.org/en/ivan-serpa/untitled-2
0,Hishida Shunso,寡婦と孤児,https://www.wikiart.org/en/hishida-shunso/-1895
0,Hishida Shunso,Mahakasyapa smiling at the lotus flower,https://www.wikiart.org/en/hishida-shunso/mahakasyapa-smiling-at-the-lotus-flower-1897
0,Hishida Shunso,Autumn Landscape with Colored Leaves,https://www.wikiart.org/en/hishida-shunso/autumn-landscape-with-colored-leaves-1899
0,Hishida Shunso,菊慈童,https://www.wikiart.org/en/hishida-shunso/-1900
0,Hishida Shunso,Hydrangeas,https://www.wikiart.org/en/hishida-shunso/hydrangeas-1902
0,Hishida Shunso,Cat and Plum Blossoms,https://www.wikiart.org/en/hishida-shunso/cat-and-plum-blossoms-1906
0,Hishida Shunso,賢首菩薩,https://www.wikiart.org/en/hishida-shunso/-1907
0,Hishida Shunso,Fallen Leaves (Ochiba),https://www.wikiart.org/en/hishida-shunso/fallen-leaves-ochiba-1909
0,Hishida Shunso,Egret Scroll,https://www.wikiart.org/en/hishida-shunso/egret-scroll-1909
0,Hishida Shunso,Black Cat (Kuroki Neko),https://www.wikiart.org/en/hishida-shunso/black-cat-kuroki-neko-1910
0,Hishida Shunso,Cat,https://www.wikiart.org/en/hishida-shunso/cat
0,Hishida Shunso,Squirrel,https://www.wikiart.org/en/hishida-shunso/squirrel
0,Samuel Mutzner,Haystack at Giverny,https://www.wikiart.org/en/samuel-mutzner/c-pi-la-giverny-1908
0,Samuel Mutzner,Landscape from Giverny,https://www.wikiart.org/en/samuel-mutzner/peisaj-din-giverny-1908
0,Samuel Mutzner,Pagota in Kiyotaki,https://www.wikiart.org/en/samuel-mutzner/pagoda-din-kiyotaki-1913
0,Samuel Mutzner,Scenă japoneză,https://www.wikiart.org/en/samuel-mutzner/scen-japonez-1913
0,Samuel Mutzner,"The Gate of Lama Temple, Peking",https://www.wikiart.org/en/samuel-mutzner/poarta-templului-lama-peking-1915
0,Samuel Mutzner,Jeune femme de profil,https://www.wikiart.org/en/samuel-mutzner/jeune-femme-de-profil-1915
0,Samuel Mutzner,Primăvară la Kyoto,https://www.wikiart.org/en/samuel-mutzner/prim-var-la-kyoto-1915
0,Samuel Mutzner,Primăvară la Kyoto,https://www.wikiart.org/en/samuel-mutzner/prim-var-la-kyoto-1915-1
0,Samuel Mutzner,Quarter in Tunis,https://www.wikiart.org/en/samuel-mutzner/cartier-din-tunis-1920
0,Samuel Mutzner,Quarter in Tunis,https://www.wikiart.org/en/samuel-mutzner/cartier-din-tunis-1920-1
0,Samuel Mutzner,Patio la Sevilla,https://www.wikiart.org/en/samuel-mutzner/patio-la-sevilla-1920
0,Samuel Mutzner,Stradă din Sevilla,https://www.wikiart.org/en/samuel-mutzner/strad-din-sevilla-1920
0,Samuel Mutzner,Sevilla,https://www.wikiart.org/en/samuel-mutzner/sevilla-1921
0,Samuel Mutzner,Cafe in Gabes,https://www.wikiart.org/en/samuel-mutzner/cafenea-din-gabes-1921
0,Samuel Mutzner,Gardens in Sevilla,https://www.wikiart.org/en/samuel-mutzner/gr-dini-n-sevilla-1921
0,Samuel Mutzner,Gabès Cityscape,https://www.wikiart.org/en/samuel-mutzner/peisaj-din-gab-s-1921
0,Samuel Mutzner,Stradă în Tunis,https://www.wikiart.org/en/samuel-mutzner/strad-n-tunis-1921
0,Samuel Mutzner,Târg în Grande Jatte,https://www.wikiart.org/en/samuel-mutzner/t-rg-n-grande-jatte-1922
0,Samuel Mutzner,Peasant Dish with Apples,https://www.wikiart.org/en/samuel-mutzner/farfurie-r-neasc-cu-mere-1923
0,Samuel Mutzner,With Mum,https://www.wikiart.org/en/samuel-mutzner/al-turi-de-mama-1925
0,Samuel Mutzner,Intimitate,https://www.wikiart.org/en/samuel-mutzner/intimitate-1925
0,Samuel Mutzner,Zi de primăvară,https://www.wikiart.org/en/samuel-mutzner/zi-de-prim-var-1925
0,Samuel Mutzner,"Woman in the Garden, at Șopârlița",https://www.wikiart.org/en/samuel-mutzner/femeie-n-gr-din-la-op-rli-a-1927
0,Samuel Mutzner,Peisaj de amiază,https://www.wikiart.org/en/samuel-mutzner/peisaj-de-amiaz-1928
0,Samuel Mutzner,Veneţia,https://www.wikiart.org/en/samuel-mutzner/vene-ia-1928
0,Samuel Mutzner,Antique Legend,https://www.wikiart.org/en/samuel-mutzner/legend-antic-1929
0,Samuel Mutzner,Bridge in Venice,https://www.wikiart.org/en/samuel-mutzner/pod-la-vene-ia-1929
0,Samuel Mutzner,Chrysanthemums in Japanese Vase,https://www.wikiart.org/en/samuel-mutzner/crizanteme-n-vas-japonez-1929
0,Samuel Mutzner,Landscape from Corsica (Ajaccio),https://www.wikiart.org/en/samuel-mutzner/peisaj-din-corsica-ajaccio-1929
0,Samuel Mutzner,Springtime,https://www.wikiart.org/en/samuel-mutzner/prim-var-1930
0,Samuel Mutzner,Roses in Balcic,https://www.wikiart.org/en/samuel-mutzner/trandafiri-la-balcic-1930
0,Samuel Mutzner,Natură statică cu muschetar,https://www.wikiart.org/en/samuel-mutzner/natur-static-cu-muschetar-1932
0,Samuel Mutzner,Springtime in Balcic,https://www.wikiart.org/en/samuel-mutzner/prim-var-la-balcic-1934
0,Samuel Mutzner,Minaret la Balcic,https://www.wikiart.org/en/samuel-mutzner/minaret-la-balcic-1935
0,Samuel Mutzner,Marina,https://www.wikiart.org/en/samuel-mutzner/marin-1935
0,Samuel Mutzner,Balcic Gulf,https://www.wikiart.org/en/samuel-mutzner/golful-balcicului-1939
0,Samuel Mutzner,Cișmigiu,https://www.wikiart.org/en/samuel-mutzner/ci-migiu-1940
0,Samuel Mutzner,Cișmigiu Garden,https://www.wikiart.org/en/samuel-mutzner/gr-dina-ci-migiu-1940
0,Samuel Mutzner,Iarmaroc de Moși,https://www.wikiart.org/en/samuel-mutzner/iarmaroc-de-mo-i-1940
0,Samuel Mutzner,Peisaj cu turmă de oi,https://www.wikiart.org/en/samuel-mutzner/peisaj-cu-turm-de-oi-1940
0,Samuel Mutzner,The Sunflower Has Grown,https://www.wikiart.org/en/samuel-mutzner/a-crescut-floarea-soarelui-1944
0,Samuel Mutzner,Nuntă la sat,https://www.wikiart.org/en/samuel-mutzner/nunt-la-sat-1952
0,Samuel Mutzner,Sunset Effect on the Lake,https://www.wikiart.org/en/samuel-mutzner/efect-de-nserare-pe-lac
0,Samuel Mutzner,Corn Field,https://www.wikiart.org/en/samuel-mutzner/lan-de-gr-u
0,Samuel Mutzner,Fishing Nets Drying,https://www.wikiart.org/en/samuel-mutzner/plase-la-uscat
0,Samuel Mutzner,Algerian Scene,https://www.wikiart.org/en/samuel-mutzner/scen-algerian
0,Samuel Mutzner,Self-Portrait at Easel,https://www.wikiart.org/en/samuel-mutzner/autoportret-la-evalet
0,Samuel Mutzner,Tatar Quarter in Balcic,https://www.wikiart.org/en/samuel-mutzner/cartierul-t-t-r-sc-din-balcic
0,Samuel Mutzner,Carusel la Moși,https://www.wikiart.org/en/samuel-mutzner/carusel-la-mo-i
0,Samuel Mutzner,Turkeys,https://www.wikiart.org/en/samuel-mutzner/curcani
0,Samuel Mutzner,Oriental Dancer,https://www.wikiart.org/en/samuel-mutzner/dansatoare-oriental
0,Samuel Mutzner,Cobra Dance,https://www.wikiart.org/en/samuel-mutzner/dansul-cu-cobra
0,Samuel Mutzner,Balcic Hills,https://www.wikiart.org/en/samuel-mutzner/dealuri-la-balcic
0,Samuel Mutzner,Woman Playing the Guitar,https://www.wikiart.org/en/samuel-mutzner/femeie-c-nt-nd-la-chitar
0,Samuel Mutzner,Woman with Japanese Umbrella,https://www.wikiart.org/en/samuel-mutzner/femeie-cu-umbrel-japonez
0,Samuel Mutzner,Figaro,https://www.wikiart.org/en/samuel-mutzner/figaro
0,Samuel Mutzner,Countryside Flowers,https://www.wikiart.org/en/samuel-mutzner/flori-de-c-mp
0,Samuel Mutzner,Japanese Garden,https://www.wikiart.org/en/samuel-mutzner/gr-din-japonez
0,Samuel Mutzner,In the Garden,https://www.wikiart.org/en/samuel-mutzner/n-gr-din
0,Samuel Mutzner,La Moși,https://www.wikiart.org/en/samuel-mutzner/la-mo-i
0,Samuel Mutzner,Mahoane la mal,https://www.wikiart.org/en/samuel-mutzner/mahoane-la-mal
0,Samuel Mutzner,Marina,https://www.wikiart.org/en/samuel-mutzner/marina
0,Samuel Mutzner,Odaliscă,https://www.wikiart.org/en/samuel-mutzner/odalisc
0,Samuel Mutzner,Landscape in Giverny,https://www.wikiart.org/en/samuel-mutzner/peisaj-din-giverny
0,Samuel Mutzner,Potecă prin peisaj provensal,https://www.wikiart.org/en/samuel-mutzner/potec-prin-peisaj-provensal
0,Samuel Mutzner,Vară,https://www.wikiart.org/en/samuel-mutzner/var
0,Samuel Mutzner,Vedere din Balcic,https://www.wikiart.org/en/samuel-mutzner/vedere-din-balcic
0,Samuel Mutzner,Vedută venețiană,https://www.wikiart.org/en/samuel-mutzner/vedut-vene-ian
0,Nutzi Acontz,Terrace in Balcic,https://www.wikiart.org/en/nutzi-acontz/terrace-in-balcic-1930
0,Nutzi Acontz,Interior in Sozopol,https://www.wikiart.org/en/nutzi-acontz/interior-in-sozopol-1947
0,Nutzi Acontz,Horseshoeing,https://www.wikiart.org/en/nutzi-acontz/horseshoeing-1948
0,Nutzi Acontz,Landscape With River,https://www.wikiart.org/en/nutzi-acontz/landscape-with-river-1954
0,Nutzi Acontz,Mamut's Café,https://www.wikiart.org/en/nutzi-acontz/mamut-s-caf
0,Nutzi Acontz,Balcic Gulf,https://www.wikiart.org/en/nutzi-acontz/balcic-gulf
0,Nutzi Acontz,The Sleep,https://www.wikiart.org/en/nutzi-acontz/the-sleep
0,Nutzi Acontz,Still Life with Fruit,https://www.wikiart.org/en/nutzi-acontz/still-life-with-fruit
0,Nutzi Acontz,Old Street in Pont Aven,https://www.wikiart.org/en/nutzi-acontz/old-street-in-pont-aven
0,Nutzi Acontz,Dobrujan Street,https://www.wikiart.org/en/nutzi-acontz/dobrujan-street
0,Nutzi Acontz,Tatar Women in Balcic,https://www.wikiart.org/en/nutzi-acontz/tatar-women-in-balcic
0,Nutzi Acontz,The Boy,https://www.wikiart.org/en/nutzi-acontz/the-boy
0,Nutzi Acontz,unknown title,https://www.wikiart.org/en/nutzi-acontz/unknown-title
0,Nutzi Acontz,unknown title,https://www.wikiart.org/en/nutzi-acontz/unknown-title-1
0,Vasile Dobrian,Houses,https://www.wikiart.org/en/vasile-dobrian/houses-1932
0,Vasile Dobrian,Death of the Striker,https://www.wikiart.org/en/vasile-dobrian/death-of-the-striker-1932
0,Vasile Dobrian,Self-Portrait,https://www.wikiart.org/en/vasile-dobrian/self-portrait-1938
0,Vasile Dobrian,Untitled,https://www.wikiart.org/en/vasile-dobrian/untitled-1947
0,Vasile Dobrian,Interior (My Workshop),https://www.wikiart.org/en/vasile-dobrian/interior-my-workshop-1959
0,Vasile Dobrian,Composition With Guitar,https://www.wikiart.org/en/vasile-dobrian/composition-with-guitar-1961
