Column,Art_ID,Title,Artist,Wiki_Link,Style,Genre,Media,tmp
202,Kaggle_53039,Garden on Lake Thun,August Macke,https://www.wikiart.org/en/august-macke/garden-on-lake-thun,,,,check
215,Kaggle_88558,The Reaper,Ferdinand Hodler,https://www.wikiart.org/en/ferdinand-hodler/the-reaper,,,,check
220,Kaggle_17680,Portraits,Thomas Eakins,https://www.wikiart.org/en/thomas-eakins/portraits-1,,,,check
224,Kaggle_34412,Volga,Konstantin Vasilyev,https://www.wikiart.org/en/konstantin-vasilyev/volga-1,,,,check
229,Kaggle_1211,"Thun, Stockhornkette",Ferdinand Hodler,https://www.wikiart.org/en/ferdinand-hodler/thun-stockhornkette-1910,,,,check
250,Kaggle_76107,Self-Portrait,Marie Laurencin,https://www.wikiart.org/en/marie-laurencin/self-portrait-3,,,,check
251,Kaggle_22326,The German students in the War of Liberation of 1813,Ferdinand Hodler,https://www.wikiart.org/en/ferdinand-hodler/the-german-students-in-the-war-of-liberation-of-1813-1908,,,,check
256,Kaggle_34382,Portrait of Henrietta Girshman,Valentin Serov,https://www.wikiart.org/en/valentin-serov/portrait-of-henrietta-girshman-1907,,,,check
260,Kaggle_86917,Portraits,Thomas Eakins,https://www.wikiart.org/en/thomas-eakins/portraits-2,,,,check
263,Kaggle_57202,Svjatogor's gift,Konstantin Vasilyev,https://www.wikiart.org/en/konstantin-vasilyev/svjatogor-s-gift,,,,check
267,Kaggle_97421,The German students in the War of Liberation of 1813,Ferdinand Hodler,https://www.wikiart.org/en/ferdinand-hodler/the-german-students-in-the-war-of-liberation-of-1813-1908-1,,,,check
285,Kaggle_91301,The German students in the War of Liberation of 1813,Ferdinand Hodler,https://www.wikiart.org/en/ferdinand-hodler/the-german-students-in-the-war-of-liberation-of-1813-1908-2,,,,check
293,Kaggle_18436,Portrait of Cosimo I de' Medici,Agnolo Bronzino,"['https://www.wikiart.org/en/agnolo-bronzino/portrait-of-cosimo-i-de-medici-1545', 'https://www.wikiart.org/en/agnolo-bronzino/portrait-of-cosimo-i-de-medici-1545-1', 'https://www.wikiart.org/en/agnolo-bronzino/portrait-of-cosimo-i-de-medici', 'https://www.wikiart.org/en/agnolo-bronzino/portrait-of-cosimo-i-de-medici-1']",,,,check
294,Kaggle_6977,"Thun, Stockhornkette",Ferdinand Hodler,"['https://www.wikiart.org/en/ferdinand-hodler/thun-stockhornkette-1904', 'https://www.wikiart.org/en/ferdinand-hodler/thun-stockhornkette-1910', 'https://www.wikiart.org/en/ferdinand-hodler/thun-stockhornkette-1910-1']",,,,check
308,Kaggle_12455,Landscape in Semmering,Koloman Moser,"['https://www.wikiart.org/en/koloman-moser/landscape-in-semmering', 'https://www.wikiart.org/en/koloman-moser/landscape-in-semmering-1913', 'https://www.wikiart.org/en/koloman-moser/landscape-in-semmering-1913-1']",,,,check
309,Kaggle_31655,Portraits,Thomas Eakins,"['https://www.wikiart.org/en/thomas-eakins/portraits', 'https://www.wikiart.org/en/thomas-eakins/portraits-1', 'https://www.wikiart.org/en/thomas-eakins/portraits-2', 'https://www.wikiart.org/en/thomas-eakins/portraits-3', 'https://www.wikiart.org/en/thomas-eakins/portraits-4', 'https://www.wikiart.org/en/thomas-eakins/portraits-5']",,,,check
319,Kaggle_93054,Cotopaxi,Frederic Edwin Church,"['https://www.wikiart.org/en/frederic-edwin-church/cotopaxi-1855-0', 'https://www.wikiart.org/en/frederic-edwin-church/cotopaxi-1855']",,,,check
327,Kaggle_82310,The Duke of Wellington,Francisco Goya,"['https://www.wikiart.org/en/francisco-goya/the-duke-of-wellington', 'https://www.wikiart.org/en/francisco-goya/the-duke-of-wellington-1814']",,,,check
328,Kaggle_69300,Landscape in Semmering,Koloman Moser,"['https://www.wikiart.org/en/koloman-moser/landscape-in-semmering', 'https://www.wikiart.org/en/koloman-moser/landscape-in-semmering-1913', 'https://www.wikiart.org/en/koloman-moser/landscape-in-semmering-1913-1']",,,,check
340,Kaggle_13203,Natura Morta,Mario Tozzi,"['https://www.wikiart.org/en/mario-tozzi/natura-morta-2', 'https://www.wikiart.org/en/mario-tozzi/natura-morta-1', 'https://www.wikiart.org/en/mario-tozzi/natura-morta']",,,,check
356,Kaggle_75013,Les Gavroches,Theophile Steinlen,"['https://www.wikiart.org/en/theophile-steinlen/les-gavroches-1893', 'https://www.wikiart.org/en/theophile-steinlen/les-gavroches-1893-1']",,,,check
369,Kaggle_35557,The St. Stephen's Cathedral in Vienna,Rudolf von Alt,"['https://www.wikiart.org/en/rudolf-von-alt/the-st-stephen-s-cathedral-in-vienna-1831', 'https://www.wikiart.org/en/rudolf-von-alt/the-st-stephen-s-cathedral-in-vienna', 'https://www.wikiart.org/en/rudolf-von-alt/the-st-stephen-s-cathedral-in-vienna-1847']",,,,check
371,Kaggle_40855,Portraits,Thomas Eakins,"['https://www.wikiart.org/en/thomas-eakins/portraits', 'https://www.wikiart.org/en/thomas-eakins/portraits-1', 'https://www.wikiart.org/en/thomas-eakins/portraits-2', 'https://www.wikiart.org/en/thomas-eakins/portraits-3', 'https://www.wikiart.org/en/thomas-eakins/portraits-4', 'https://www.wikiart.org/en/thomas-eakins/portraits-5']",,,,check
380,Kaggle_19831,Volga,Konstantin Vasilyev,"['https://www.wikiart.org/en/konstantin-vasilyev/volga', 'https://www.wikiart.org/en/konstantin-vasilyev/volga-1', 'https://www.wikiart.org/en/konstantin-vasilyev/volga-2']",,,,check
416,Kaggle_56338,The iron foundry in Kitschelt Skodagasse in Vienna,Rudolf von Alt,"['https://www.wikiart.org/en/rudolf-von-alt/the-iron-foundry-in-kitschelt-skodagasse-in-vienna-1894', 'https://www.wikiart.org/en/rudolf-von-alt/the-iron-foundry-in-kitschelt-skodagasse-in-vienna-1903', 'https://www.wikiart.org/en/rudolf-von-alt/the-iron-foundry-in-kitschelt-skodagasse-in-vienna-1903-1']",,,,check
434,Kaggle_97297,"Sketch for the Opera, The Golden Cockerel, by Nikolai Rimsky-Korsakov",Ivan Bilibin,"['https://www.wikiart.org/en/ivan-bilibin/sketch-for-the-opera-the-golden-cockerel-by-nikolai-rimsky-korsakov-1908', 'https://www.wikiart.org/en/ivan-bilibin/sketch-for-the-opera-the-golden-cockerel-by-nikolai-rimsky-korsakov-1909', 'https://www.wikiart.org/en/ivan-bilibin/sketch-for-the-opera-the-golden-cockerel-by-nikolai-rimsky-korsakov-1909-1', 'https://www.wikiart.org/en/ivan-bilibin/sketch-for-the-opera-the-golden-cockerel-by-nikolai-rimsky-korsakov-1909-2']",,,,check
465,Kaggle_20281,Birth of the Danube,Konstantin Vasilyev,https://www.wikiart.org/en/konstantin-vasilyev/birth-of-the-danube-1,,,,check
466,Kaggle_50103,The Town Hall in Mödling,Rudolf von Alt,"['https://www.wikiart.org/en/rudolf-von-alt/the-town-hall-in-m%C3%B6dling-1842', 'https://www.wikiart.org/en/rudolf-von-alt/the-town-hall-in-m%C3%B6dling-1842-1']",,,,check
468,Kaggle_64091,Svjatogor's gift,Konstantin Vasilyev,"['https://www.wikiart.org/en/konstantin-vasilyev/svjatogor-s-gift', 'https://www.wikiart.org/en/konstantin-vasilyev/svjatogor-s-gift-1']",,,,check
476,Kaggle_2295,Birth of the Danube,Konstantin Vasilyev,https://www.wikiart.org/en/konstantin-vasilyev/birth-of-the-danube,,,,check
488,Kaggle_84409,Lake Geneva from Chexbres,Ferdinand Hodler,"['https://www.wikiart.org/en/ferdinand-hodler/lake-geneva-from-chexbres-1904', 'https://www.wikiart.org/en/ferdinand-hodler/lake-geneva-from-chexbres']",,,,check
489,Kaggle_71381,Lake Geneva with Mont Blanc at dawn,Ferdinand Hodler,"['https://www.wikiart.org/en/ferdinand-hodler/lake-geneva-with-mont-blanc-at-dawn-1918', 'https://www.wikiart.org/en/ferdinand-hodler/lake-geneva-with-mont-blanc-at-dawn-1918-1', 'https://www.wikiart.org/en/ferdinand-hodler/lake-geneva-with-mont-blanc-at-dawn-1918-2']",,,,check
493,Kaggle_64794,The Adoration of the Magi,Albrecht Durer,"['https://www.wikiart.org/en/albrecht-durer/the-adoration-of-the-magi-1502', 'https://www.wikiart.org/en/albrecht-durer/the-adoration-of-the-magi', 'https://www.wikiart.org/en/albrecht-durer/the-adoration-of-the-magi-1504']",,,,check
507,Kaggle_62497,Portrait of a Man,Antonello da Messina,"['https://www.wikiart.org/en/antonello-da-messina/portrait-of-a-man-3', 'https://www.wikiart.org/en/antonello-da-messina/portrait-of-a-man-1470-1', 'https://www.wikiart.org/en/antonello-da-messina/portrait-of-a-man-1470', 'https://www.wikiart.org/en/antonello-da-messina/portrait-of-a-man-1473', 'https://www.wikiart.org/en/antonello-da-messina/portrait-of-a-man-1474', 'https://www.wikiart.org/en/antonello-da-messina/portrait-of-a-man-1475', 'https://www.wikiart.org/en/antonello-da-messina/portrait-of-a-man', 'https://www.wikiart.org/en/antonello-da-messina/portrait-of-a-man-1', 'https://www.wikiart.org/en/antonello-da-messina/portrait-of-a-man-2']",,,,check
518,Kaggle_73334,Sketches of scenery for Sadko by Nikolai Rimsky-Korsakov,Ivan Bilibin,"['https://www.wikiart.org/en/ivan-bilibin/sketches-of-scenery-for-sadko-by-nikolai-rimsky-korsakov-1914', 'https://www.wikiart.org/en/ivan-bilibin/sketches-of-scenery-for-sadko-by-nikolai-rimsky-korsakov-1914-1']",,,,check
519,Kaggle_51875,Lake Geneva with Mont Blanc in the morning light,Ferdinand Hodler,"['https://www.wikiart.org/en/ferdinand-hodler/lake-geneva-with-mont-blanc-in-the-morning-light-1918', 'https://www.wikiart.org/en/ferdinand-hodler/lake-geneva-with-mont-blanc-in-the-morning-light-1918-1']",,,,check
525,Kaggle_52598,The Entombment (detail from the Isenheim Altarpiece),Matthias Grünewald,"['https://www.wikiart.org/en/matthias-grunewald/the-entombment-detail-from-the-isenheim-altarpiece-1515', 'https://www.wikiart.org/en/matthias-grunewald/the-entombment-detail-from-the-isenheim-altarpiece-1516']",,,,check
533,Kaggle_83504,The Garden Arbor,Eugene de Blaas,"['https://www.wikiart.org/en/eugene-de-blaas/the-garden-arbor-1', 'https://www.wikiart.org/en/eugene-de-blaas/the-garden-arbor-3', 'https://www.wikiart.org/en/eugene-de-blaas/the-garden-arbor']",,,,check
536,Kaggle_73456,Lake Geneva with Mont Blanc at dawn,Ferdinand Hodler,"['https://www.wikiart.org/en/ferdinand-hodler/lake-geneva-with-mont-blanc-at-dawn-1918', 'https://www.wikiart.org/en/ferdinand-hodler/lake-geneva-with-mont-blanc-at-dawn-1918-1', 'https://www.wikiart.org/en/ferdinand-hodler/lake-geneva-with-mont-blanc-at-dawn-1918-2']",,,,check
538,Kaggle_72945,Left border warriors,Ferdinand Hodler,"['https://www.wikiart.org/en/ferdinand-hodler/left-border-warriors', 'https://www.wikiart.org/en/ferdinand-hodler/left-border-warriors-1']",,,,check
540,Kaggle_62838,Portrait of Countess A. S. Protasova,Dmitry Levitzky,"['https://www.wikiart.org/en/dmitry-levitzky/portrait-of-countess-a-s-protasova', 'https://www.wikiart.org/en/dmitry-levitzky/portrait-of-countess-a-s-protasova-1800']",,,,check
547,Kaggle_68311,Left border woman,Ferdinand Hodler,"['https://www.wikiart.org/en/ferdinand-hodler/left-border-woman', 'https://www.wikiart.org/en/ferdinand-hodler/left-border-woman-1']",,,,check
554,Kaggle_51408,Stage design for 'The Phantom' of Hermann Bahr,Koloman Moser,"['https://www.wikiart.org/en/koloman-moser/stage-design-for-the-phantom-of-hermann-bahr-1913', 'https://www.wikiart.org/en/koloman-moser/stage-design-for-the-phantom-of-hermann-bahr-1913-1']",,,,check
556,Kaggle_85069,Stage design for 'The Phantom' of Hermann Bahr,Koloman Moser,"['https://www.wikiart.org/en/koloman-moser/stage-design-for-the-phantom-of-hermann-bahr-1913', 'https://www.wikiart.org/en/koloman-moser/stage-design-for-the-phantom-of-hermann-bahr-1913-1']",,,,check
557,Kaggle_78023,The parish church in Ofen,Rudolf von Alt,"['https://www.wikiart.org/en/rudolf-von-alt/the-parish-church-in-ofen', 'https://www.wikiart.org/en/rudolf-von-alt/the-parish-church-in-ofen-1']",,,,check
558,Kaggle_96668,Susanna and the Elders,Franz Stuck,"['https://www.wikiart.org/en/franz-stuck/susanna-and-the-elders-1904', 'https://www.wikiart.org/en/franz-stuck/susanna-and-the-elders-1913', 'https://www.wikiart.org/en/franz-stuck/susanna-and-the-elders-1913-1']",,,,check
561,Kaggle_20768,Separation,Theophile Steinlen,"['https://www.wikiart.org/en/theophile-steinlen/separation-1892', 'https://www.wikiart.org/en/theophile-steinlen/separation-1892-1']",,,,check
563,Kaggle_102960,Étienne Soubre,Felicien Rops,"['https://www.wikiart.org/en/felicien-rops/tienne-soubre', 'https://www.wikiart.org/en/felicien-rops/tienne-soubre-1']",,,,check
564,Kaggle_72083,Portrait of Louise Delphine Duchosal,Ferdinand Hodler,"['https://www.wikiart.org/en/ferdinand-hodler/portrait-of-louise-delphine-duchosal-1885', 'https://www.wikiart.org/en/ferdinand-hodler/portrait-of-louise-delphine-duchosal-1885-1']",,,,check
565,Kaggle_42047,Landscape in Semmering,Koloman Moser,"['https://www.wikiart.org/en/koloman-moser/landscape-in-semmering', 'https://www.wikiart.org/en/koloman-moser/landscape-in-semmering-1913', 'https://www.wikiart.org/en/koloman-moser/landscape-in-semmering-1913-1']",,,,check
566,Kaggle_70088,La Mort de Jesus,Theophile Steinlen,"['https://www.wikiart.org/en/theophile-steinlen/la-mort-de-jesus-1894', 'https://www.wikiart.org/en/theophile-steinlen/la-mort-de-jesus-1894-1', 'https://www.wikiart.org/en/theophile-steinlen/la-mort-de-jesus-1894-2']",,,,check
569,Kaggle_70020,Self-portrait,Koloman Moser,"['https://www.wikiart.org/en/koloman-moser/self-portrait-1', 'https://www.wikiart.org/en/koloman-moser/self-portrait']",,,,check
572,Kaggle_96219,Lake Geneva with Mont Blanc at dawn,Ferdinand Hodler,"['https://www.wikiart.org/en/ferdinand-hodler/lake-geneva-with-mont-blanc-at-dawn-1918', 'https://www.wikiart.org/en/ferdinand-hodler/lake-geneva-with-mont-blanc-at-dawn-1918-1', 'https://www.wikiart.org/en/ferdinand-hodler/lake-geneva-with-mont-blanc-at-dawn-1918-2']",,,,check
576,Kaggle_82053,Portrait of Naniwaya Okita,Kitagawa Utamaro,"['https://www.wikiart.org/en/kitagawa-utamaro/portrait-of-naniwaya-okita-1793', 'https://www.wikiart.org/en/kitagawa-utamaro/portrait-of-naniwaya-okita']",,,,check
587,Kaggle_37075,Lake Geneva from Chexbres,Ferdinand Hodler,"['https://www.wikiart.org/en/ferdinand-hodler/lake-geneva-from-chexbres-1904', 'https://www.wikiart.org/en/ferdinand-hodler/lake-geneva-from-chexbres']",,,,check
588,Kaggle_60634,Self-portrait,Rembrandt,"['https://www.wikiart.org/en/rembrandt/self-portrait-1629', 'https://www.wikiart.org/en/rembrandt/self-portrait-9', 'https://www.wikiart.org/en/rembrandt/self-portrait-10', 'https://www.wikiart.org/en/rembrandt/self-portrait-1630', 'https://www.wikiart.org/en/rembrandt/self-portrait-1630-1', 'https://www.wikiart.org/en/rembrandt/self-portrait-1632', 'https://www.wikiart.org/en/rembrandt/self-portrait-1633', 'https://www.wikiart.org/en/rembrandt/self-portrait-3', 'https://www.wikiart.org/en/rembrandt/self-portrait-1637', 'https://www.wikiart.org/en/rembrandt/self-portrait', 'https://www.wikiart.org/en/rembrandt/self-portrait-4', 'https://www.wikiart.org/en/rembrandt/self-portrait-5', 'https://www.wikiart.org/en/rembrandt/self-portrait-1642', 'https://www.wikiart.org/en/rembrandt/self-portrait-1643', 'https://www.wikiart.org/en/rembrandt/self-portrait-1', 'https://www.wikiart.org/en/rembrandt/self-portrait-1654', 'https://www.wikiart.org/en/rembrandt/self-portrait-1658', 'https://www.wikiart.org/en/rembrandt/self-portrait-1659', 'https://www.wikiart.org/en/rembrandt/self-portrait-1659-1', 'https://www.wikiart.org/en/rembrandt/self-portrait-1659-2', 'https://www.wikiart.org/en/rembrandt/self-portrait-7', 'https://www.wikiart.org/en/rembrandt/self-portrait-1660-1', 'https://www.wikiart.org/en/rembrandt/self-portrait-1660-2', 'https://www.wikiart.org/en/rembrandt/self-portrait-8', 'https://www.wikiart.org/en/rembrandt/self-portrait-1665', 'https://www.wikiart.org/en/rembrandt/self-portrait-1669', 'https://www.wikiart.org/en/rembrandt/self-portrait-1669-1']",,,,check
